encrypted_image,reference_image,visual_quality,ground_truth
airport_07_6.bmp,airport.bmp,0.9206349206349206,0.8699999999999999
airport_08_2.bmp,airport.bmp,0.0,0.2
airport_08_3.bmp,airport.bmp,0.0079365079365079,0.2
airport_08_4.bmp,airport.bmp,0.1428571428571428,0.2
airport_09_1.bmp,airport.bmp,0.0,0.2
airport_09_2.bmp,airport.bmp,0.0952380952380952,0.2
airport_09_3.bmp,airport.bmp,0.2063492063492063,0.21
airport_09_4.bmp,airport.bmp,0.3809523809523809,0.22
airport_09_5.bmp,airport.bmp,0.5873015873015873,0.26
airport_10_1.bmp,airport.bmp,0.0,0.2
airport_10_2.bmp,airport.bmp,0.0555555555555555,0.2
airport_10_3.bmp,airport.bmp,0.3095238095238095,0.22
airport_10_4.bmp,airport.bmp,0.4206349206349207,0.25
airport_10_5.bmp,airport.bmp,0.611111111111111,0.39
airport_10_6.bmp,airport.bmp,0.7857142857142857,0.5700000000000001
animal.bmp,animal.bmp,1.0,1.0
animal_01_1.j2k,animal.bmp,0.0238095238095238,0.2
animal_01_2.j2k,animal.bmp,0.1825396825396825,0.2
animal_01_4.j2k,animal.bmp,0.4047619047619047,0.29
animal_01_5.j2k,animal.bmp,0.611111111111111,0.42
animal_02_1.jpg,animal.bmp,0.0,0.2
animal_02_2.jpg,animal.bmp,0.2777777777777778,0.2299999999999999
animal_02_4.jpg,animal.bmp,0.4841269841269841,0.32
animal_02_5.jpg,animal.bmp,0.6031746031746031,0.42
animal_03_1.j2k,animal.bmp,0.0079365079365079,0.2
animal_03_2.j2k,animal.bmp,0.1587301587301587,0.2
animal_03_3.j2k,animal.bmp,0.119047619047619,0.2
animal_03_4.j2k,animal.bmp,0.2777777777777778,0.22
animal_03_5.j2k,animal.bmp,0.5317460317460317,0.42
animal_03_6.j2k,animal.bmp,0.8968253968253967,0.79
animal_04_2.j2k,animal.bmp,0.1904761904761904,0.21
animal_04_3.j2k,animal.bmp,0.3174603174603175,0.25
animal_04_4.j2k,animal.bmp,0.7222222222222222,0.5599999999999999
animal_04_5.j2k,animal.bmp,0.8888888888888888,0.7
animal_05_1.j2k,animal.bmp,0.0079365079365079,0.2
animal_05_2.j2k,animal.bmp,0.1269841269841269,0.2
animal_05_3.j2k,animal.bmp,0.2539682539682539,0.2
animal_05_4.j2k,animal.bmp,0.3809523809523809,0.24
animal_05_5.j2k,animal.bmp,0.5238095238095238,0.3
animal_06_1.j2k,animal.bmp,0.0396825396825396,0.2
animal_06_2.j2k,animal.bmp,0.3333333333333333,0.2799999999999999
animal_06_4.j2k,animal.bmp,0.8968253968253967,0.75
animal_06_5.j2k,animal.bmp,0.9761904761904764,0.9
animal_07_2.bmp,animal.bmp,0.1904761904761904,0.22
animal_07_3.bmp,animal.bmp,0.2936507936507936,0.26
animal_07_4.bmp,animal.bmp,0.4761904761904761,0.4
animal_07_5.bmp,animal.bmp,0.7301587301587302,0.65
animal_07_6.bmp,animal.bmp,0.9206349206349206,0.8699999999999999
animal_08_1.bmp,animal.bmp,0.0,0.2
animal_08_2.bmp,animal.bmp,0.0,0.2
animal_08_3.bmp,animal.bmp,0.0158730158730158,0.2
animal_08_4.bmp,animal.bmp,0.1031746031746031,0.2
animal_09_1.bmp,animal.bmp,0.0,0.2
animal_09_2.bmp,animal.bmp,0.0714285714285714,0.2
animal_09_3.bmp,animal.bmp,0.1587301587301587,0.21
animal_09_6.bmp,animal.bmp,0.6984126984126986,0.47
animal_10_2.bmp,animal.bmp,0.1428571428571428,0.21
animal_10_3.bmp,animal.bmp,0.4206349206349207,0.26
animal_10_5.bmp,animal.bmp,0.5952380952380953,0.37
blackboard.bmp,blackboard.bmp,1.0,1.0
blackboard_01_1.j2k,blackboard.bmp,0.0079365079365079,0.2
blackboard_01_2.j2k,blackboard.bmp,0.0079365079365079,0.2
blackboard_01_3.j2k,blackboard.bmp,0.0634920634920634,0.2
blackboard_01_4.j2k,blackboard.bmp,0.3095238095238095,0.25
blackboard_01_5.j2k,blackboard.bmp,0.6031746031746031,0.41
blackboard_02_1.jpg,blackboard.bmp,0.0,0.2
blackboard_02_3.jpg,blackboard.bmp,0.4523809523809524,0.27
blackboard_02_4.jpg,blackboard.bmp,0.6031746031746031,0.31
blackboard_02_5.jpg,blackboard.bmp,0.7380952380952381,0.41
blackboard_03_1.j2k,blackboard.bmp,0.0238095238095238,0.2
blackboard_03_2.j2k,blackboard.bmp,0.1746031746031746,0.2
blackboard_03_3.j2k,blackboard.bmp,0.1825396825396825,0.2
blackboard_03_4.j2k,blackboard.bmp,0.4920634920634921,0.32
blackboard_04_1.j2k,blackboard.bmp,0.0079365079365079,0.2
blackboard_04_2.j2k,blackboard.bmp,0.1666666666666666,0.2
blackboard_04_3.j2k,blackboard.bmp,0.3174603174603175,0.21
blackboard_04_4.j2k,blackboard.bmp,0.5952380952380953,0.36
blackboard_05_1.j2k,blackboard.bmp,0.0079365079365079,0.2
blackboard_05_2.j2k,blackboard.bmp,0.0634920634920634,0.2
blackboard_05_4.j2k,blackboard.bmp,0.373015873015873,0.24
blackboard_05_5.j2k,blackboard.bmp,0.5793650793650794,0.35
blackboard_06_1.j2k,blackboard.bmp,0.0238095238095238,0.21
blackboard_06_3.j2k,blackboard.bmp,0.5793650793650794,0.37
blackboard_06_4.j2k,blackboard.bmp,0.8492063492063492,0.7
blackboard_06_5.j2k,blackboard.bmp,0.9365079365079366,0.8300000000000001
blackboard_07_2.bmp,blackboard.bmp,0.3174603174603175,0.25
blackboard_07_3.bmp,blackboard.bmp,0.5158730158730159,0.35
blackboard_07_4.bmp,blackboard.bmp,0.7301587301587302,0.51
blackboard_07_5.bmp,blackboard.bmp,0.8888888888888888,0.73
blackboard_07_6.bmp,blackboard.bmp,0.9603174603174603,0.89
blackboard_08_1.bmp,blackboard.bmp,0.0,0.2
blackboard_08_2.bmp,blackboard.bmp,0.0,0.2
blackboard_08_3.bmp,blackboard.bmp,0.0238095238095238,0.2
blackboard_08_4.bmp,blackboard.bmp,0.1904761904761904,0.2
blackboard_09_2.bmp,blackboard.bmp,0.1031746031746031,0.2
blackboard_09_4.bmp,blackboard.bmp,0.3412698412698412,0.24
blackboard_09_5.bmp,blackboard.bmp,0.5,0.2799999999999999
blackboard_09_6.bmp,blackboard.bmp,0.7301587301587302,0.45
blackboard_10_1.bmp,blackboard.bmp,0.0,0.2
blackboard_10_3.bmp,blackboard.bmp,0.5079365079365079,0.27
blackboard_10_4.bmp,blackboard.bmp,0.4206349206349207,0.24
blackboard_10_6.bmp,blackboard.bmp,0.9761904761904764,0.8400000000000001
book.bmp,book.bmp,1.0,1.0
book_01_1.j2k,book.bmp,0.0079365079365079,0.2
book_01_3.j2k,book.bmp,0.1031746031746031,0.2
book_01_4.j2k,book.bmp,0.2619047619047619,0.2
book_01_5.j2k,book.bmp,0.5476190476190476,0.35
book_02_1.jpg,book.bmp,0.0,0.2
book_02_2.jpg,book.bmp,0.3015873015873015,0.2299999999999999
book_02_3.jpg,book.bmp,0.4444444444444444,0.2799999999999999
book_02_4.jpg,book.bmp,0.611111111111111,0.3299999999999999
book_02_5.jpg,book.bmp,0.746031746031746,0.4599999999999999
book_02_6.jpg,book.bmp,0.8253968253968255,0.55
book_03_1.j2k,book.bmp,0.0714285714285714,0.2
book_03_2.j2k,book.bmp,0.3253968253968254,0.22
book_03_3.j2k,book.bmp,0.3809523809523809,0.26
book_03_5.j2k,book.bmp,0.7619047619047619,0.61
book_03_6.j2k,book.bmp,0.9603174603174603,0.82
book_04_1.j2k,book.bmp,0.0079365079365079,0.2
book_04_2.j2k,book.bmp,0.1984126984126984,0.2
book_04_3.j2k,book.bmp,0.3333333333333333,0.24
book_04_4.j2k,book.bmp,0.5476190476190476,0.41
book_04_5.j2k,book.bmp,0.619047619047619,0.5
book_05_1.j2k,book.bmp,0.0079365079365079,0.2
book_05_2.j2k,book.bmp,0.0555555555555555,0.2
book_05_4.j2k,book.bmp,0.3412698412698412,0.25
book_05_5.j2k,book.bmp,0.5476190476190476,0.32
book_06_1.j2k,book.bmp,0.0714285714285714,0.2
book_06_5.j2k,book.bmp,0.9603174603174603,0.77
book_07_3.bmp,book.bmp,0.5873015873015873,0.41
book_07_5.bmp,book.bmp,0.8968253968253967,0.72
book_07_6.bmp,book.bmp,0.9841269841269844,0.8800000000000001
book_08_1.bmp,book.bmp,0.0,0.2
book_08_3.bmp,book.bmp,0.0079365079365079,0.2
book_08_4.bmp,book.bmp,0.2301587301587301,0.2
book_09_2.bmp,book.bmp,0.1111111111111111,0.2
book_09_3.bmp,book.bmp,0.246031746031746,0.21
book_09_4.bmp,book.bmp,0.4206349206349207,0.22
book_09_5.bmp,book.bmp,0.5634920634920636,0.31
book_09_6.bmp,book.bmp,0.9126984126984128,0.61
book_10_1.bmp,book.bmp,0.0079365079365079,0.2
book_10_2.bmp,book.bmp,0.1111111111111111,0.2
book_10_3.bmp,book.bmp,0.1111111111111111,0.2
book_10_4.bmp,book.bmp,0.3571428571428571,0.22
book_10_5.bmp,book.bmp,0.5396825396825397,0.3299999999999999
book_10_6.bmp,book.bmp,0.7142857142857143,0.48
bridge.bmp,bridge.bmp,1.0,0.98
bridge_01_1.j2k,bridge.bmp,0.0079365079365079,0.2
bridge_01_2.j2k,bridge.bmp,0.0476190476190476,0.2
bridge_01_3.j2k,bridge.bmp,0.0634920634920634,0.2
bridge_01_4.j2k,bridge.bmp,0.246031746031746,0.21
bridge_01_5.j2k,bridge.bmp,0.5238095238095238,0.37
bridge_02_2.jpg,bridge.bmp,0.2380952380952381,0.22
bridge_02_3.jpg,bridge.bmp,0.3492063492063493,0.2299999999999999
bridge_02_5.jpg,bridge.bmp,0.626984126984127,0.37
bridge_02_6.jpg,bridge.bmp,0.753968253968254,0.47
bridge_03_1.j2k,bridge.bmp,0.0238095238095238,0.2
bridge_03_2.j2k,bridge.bmp,0.1111111111111111,0.2
bridge_03_3.j2k,bridge.bmp,0.1349206349206349,0.2
bridge_03_4.j2k,bridge.bmp,0.3412698412698412,0.22
bridge_03_6.j2k,bridge.bmp,0.8571428571428572,0.67
bridge_04_1.j2k,bridge.bmp,0.0079365079365079,0.2
bridge_04_2.j2k,bridge.bmp,0.1587301587301587,0.21
bridge_04_3.j2k,bridge.bmp,0.3015873015873015,0.2299999999999999
bridge_04_4.j2k,bridge.bmp,0.6031746031746031,0.45
bridge_04_5.j2k,bridge.bmp,0.7777777777777778,0.6
bridge_05_1.j2k,bridge.bmp,0.0079365079365079,0.2
bridge_05_2.j2k,bridge.bmp,0.0317460317460317,0.2
bridge_05_3.j2k,bridge.bmp,0.0873015873015873,0.2
bridge_05_4.j2k,bridge.bmp,0.2698412698412698,0.21
bridge_06_1.j2k,bridge.bmp,0.0555555555555555,0.2
bridge_06_2.j2k,bridge.bmp,0.2380952380952381,0.2
bridge_06_3.j2k,bridge.bmp,0.5238095238095238,0.35
bridge_06_4.j2k,bridge.bmp,0.7698412698412699,0.55
bridge_06_5.j2k,bridge.bmp,0.9365079365079366,0.74
bridge_07_1.bmp,bridge.bmp,0.0,0.2
bridge_07_2.bmp,bridge.bmp,0.3253968253968254,0.24
bridge_07_3.bmp,bridge.bmp,0.4444444444444444,0.29
bridge_07_4.bmp,bridge.bmp,0.5793650793650794,0.3399999999999999
bridge_07_5.bmp,bridge.bmp,0.753968253968254,0.5599999999999999
bridge_07_6.bmp,bridge.bmp,0.9126984126984128,0.8
bridge_08_1.bmp,bridge.bmp,0.0,0.2
bridge_08_3.bmp,bridge.bmp,0.0158730158730158,0.2
bridge_08_4.bmp,bridge.bmp,0.1746031746031746,0.2
bridge_09_1.bmp,bridge.bmp,0.0,0.2
bridge_09_2.bmp,bridge.bmp,0.0793650793650793,0.2
bridge_09_3.bmp,bridge.bmp,0.1984126984126984,0.22
bridge_09_4.bmp,bridge.bmp,0.3809523809523809,0.24
bridge_09_5.bmp,bridge.bmp,0.6031746031746031,0.29
bridge_09_6.bmp,bridge.bmp,0.7698412698412699,0.48
bridge_10_1.bmp,bridge.bmp,0.0079365079365079,0.2
bridge_10_2.bmp,bridge.bmp,0.2857142857142857,0.21
bridge_10_3.bmp,bridge.bmp,0.0238095238095238,0.21
bridge_10_6.bmp,bridge.bmp,0.8253968253968255,0.61
bus_01_1.j2k,bus.bmp,0.0079365079365079,0.2
bus_01_2.j2k,bus.bmp,0.0952380952380952,0.2
bus_01_3.j2k,bus.bmp,0.2539682539682539,0.22
bus_01_4.j2k,bus.bmp,0.4126984126984127,0.2299999999999999
bus_02_1.jpg,bus.bmp,0.0,0.2
bus_02_2.jpg,bus.bmp,0.2619047619047619,0.2299999999999999
bus_02_3.jpg,bus.bmp,0.3888888888888888,0.27
bus_02_4.jpg,bus.bmp,0.5317460317460317,0.3399999999999999
bus_02_5.jpg,bus.bmp,0.6666666666666666,0.42
bus_02_6.jpg,bus.bmp,0.7936507936507936,0.49
bus_03_1.j2k,bus.bmp,0.0476190476190476,0.2
bus_03_2.j2k,bus.bmp,0.2539682539682539,0.22
bus_03_3.j2k,bus.bmp,0.3333333333333333,0.2299999999999999
bus_03_4.j2k,bus.bmp,0.5555555555555555,0.3
bus_03_5.j2k,bus.bmp,0.753968253968254,0.5
bus_03_6.j2k,bus.bmp,0.9444444444444446,0.74
bus_04_2.j2k,bus.bmp,0.1825396825396825,0.2
bus_04_3.j2k,bus.bmp,0.3571428571428571,0.24
bus_04_4.j2k,bus.bmp,0.5158730158730159,0.39
bus_04_5.j2k,bus.bmp,0.6984126984126986,0.55
bus_05_1.j2k,bus.bmp,0.0158730158730158,0.2
bus_05_3.j2k,bus.bmp,0.3253968253968254,0.22
bus_05_4.j2k,bus.bmp,0.4603174603174603,0.24
bus_06_1.j2k,bus.bmp,0.0793650793650793,0.21
bus_06_2.j2k,bus.bmp,0.3412698412698412,0.2299999999999999
bus_06_3.j2k,bus.bmp,0.619047619047619,0.39
bus_06_4.j2k,bus.bmp,0.8095238095238094,0.58
bus_06_5.j2k,bus.bmp,0.9365079365079366,0.77
bus_07_1.bmp,bus.bmp,0.0,0.2
bus_07_2.bmp,bus.bmp,0.3174603174603175,0.2299999999999999
bus_07_3.bmp,bus.bmp,0.5,0.32
bus_07_4.bmp,bus.bmp,0.7222222222222222,0.51
bus_07_5.bmp,bus.bmp,0.8888888888888888,0.73
bus_07_6.bmp,bus.bmp,0.9841269841269844,0.8699999999999999
bus_08_1.bmp,bus.bmp,0.0,0.2
bus_08_3.bmp,bus.bmp,0.0238095238095238,0.2
bus_09_1.bmp,bus.bmp,0.0,0.2
bus_09_2.bmp,bus.bmp,0.119047619047619,0.2
bus_09_3.bmp,bus.bmp,0.2222222222222222,0.2
bus_09_4.bmp,bus.bmp,0.3888888888888888,0.21
bus_09_5.bmp,bus.bmp,0.5634920634920636,0.2799999999999999
bus_09_6.bmp,bus.bmp,0.746031746031746,0.49
bus_10_2.bmp,bus.bmp,0.0952380952380952,0.2
bus_10_3.bmp,bus.bmp,0.5714285714285714,0.3399999999999999
bus_10_4.bmp,bus.bmp,0.5476190476190476,0.32
bus_10_5.bmp,bus.bmp,0.6746031746031748,0.44
child_01_2.j2k,child.bmp,0.0,0.2
child_01_3.j2k,child.bmp,0.0396825396825396,0.2
child_01_4.j2k,child.bmp,0.246031746031746,0.24
child_01_5.j2k,child.bmp,0.4682539682539682,0.3299999999999999
child_02_1.jpg,child.bmp,0.0,0.2
child_02_2.jpg,child.bmp,0.2619047619047619,0.22
child_02_3.jpg,child.bmp,0.3571428571428571,0.2299999999999999
child_02_4.jpg,child.bmp,0.5079365079365079,0.26
child_02_5.jpg,child.bmp,0.611111111111111,0.29
child_02_6.jpg,child.bmp,0.746031746031746,0.38
child_03_1.j2k,child.bmp,0.0158730158730158,0.2
child_03_2.j2k,child.bmp,0.1587301587301587,0.2
child_03_3.j2k,child.bmp,0.2301587301587301,0.2
child_03_4.j2k,child.bmp,0.3968253968253968,0.27
child_03_5.j2k,child.bmp,0.6031746031746031,0.38
child_03_6.j2k,child.bmp,0.873015873015873,0.7
child_04_1.j2k,child.bmp,0.0079365079365079,0.2
child_04_4.j2k,child.bmp,0.5476190476190476,0.35
child_04_5.j2k,child.bmp,0.6746031746031748,0.48
child_05_1.j2k,child.bmp,0.0158730158730158,0.2
child_05_2.j2k,child.bmp,0.1031746031746031,0.2
child_05_3.j2k,child.bmp,0.1984126984126984,0.21
child_05_4.j2k,child.bmp,0.3809523809523809,0.2299999999999999
child_05_5.j2k,child.bmp,0.5079365079365079,0.29
child_06_1.j2k,child.bmp,0.1428571428571428,0.2
child_06_2.j2k,child.bmp,0.3253968253968254,0.24
child_06_4.j2k,child.bmp,0.7936507936507936,0.64
child_06_5.j2k,child.bmp,0.9603174603174603,0.8300000000000001
child_07_1.bmp,child.bmp,0.0,0.2
child_07_2.bmp,child.bmp,0.2222222222222222,0.21
child_07_3.bmp,child.bmp,0.3650793650793651,0.26
child_07_5.bmp,child.bmp,0.7936507936507936,0.61
child_07_6.bmp,child.bmp,0.9444444444444446,0.8300000000000001
child_08_2.bmp,child.bmp,0.0,0.2
child_08_3.bmp,child.bmp,0.0158730158730158,0.2
child_08_4.bmp,child.bmp,0.1666666666666666,0.2
child_09_1.bmp,child.bmp,0.0,0.2
child_09_3.bmp,child.bmp,0.1746031746031746,0.21
child_09_4.bmp,child.bmp,0.3492063492063493,0.22
child_09_6.bmp,child.bmp,0.753968253968254,0.43
child_10_1.bmp,child.bmp,0.0634920634920634,0.2
child_10_2.bmp,child.bmp,0.2222222222222222,0.2
child_10_4.bmp,child.bmp,0.4047619047619047,0.25
child_10_5.bmp,child.bmp,0.6904761904761906,0.47
child_10_6.bmp,child.bmp,0.9523809523809522,0.8300000000000001
crowd.bmp,crowd.bmp,1.0,1.0
crowd_01_2.j2k,crowd.bmp,0.0238095238095238,0.2
crowd_01_4.j2k,crowd.bmp,0.3174603174603175,0.25
crowd_01_5.j2k,crowd.bmp,0.5396825396825397,0.36
crowd_02_1.jpg,crowd.bmp,0.0,0.2
crowd_02_2.jpg,crowd.bmp,0.2936507936507936,0.2299999999999999
crowd_02_3.jpg,crowd.bmp,0.4365079365079365,0.25
crowd_02_4.jpg,crowd.bmp,0.6031746031746031,0.36
crowd_02_5.jpg,crowd.bmp,0.7063492063492064,0.4599999999999999
crowd_02_6.jpg,crowd.bmp,0.8253968253968255,0.58
crowd_03_1.j2k,crowd.bmp,0.1269841269841269,0.2
crowd_03_2.j2k,crowd.bmp,0.3015873015873015,0.2299999999999999
crowd_03_3.j2k,crowd.bmp,0.3492063492063493,0.24
crowd_03_4.j2k,crowd.bmp,0.5634920634920636,0.3399999999999999
crowd_03_6.j2k,crowd.bmp,0.9682539682539684,0.82
crowd_04_2.j2k,crowd.bmp,0.1428571428571428,0.2
crowd_04_4.j2k,crowd.bmp,0.6031746031746031,0.41
crowd_04_5.j2k,crowd.bmp,0.7380952380952381,0.54
crowd_05_1.j2k,crowd.bmp,0.0,0.2
crowd_05_2.j2k,crowd.bmp,0.0555555555555555,0.2
crowd_05_3.j2k,crowd.bmp,0.2222222222222222,0.21
crowd_05_4.j2k,crowd.bmp,0.4285714285714286,0.27
crowd_05_5.j2k,crowd.bmp,0.4841269841269841,0.3
crowd_06_1.j2k,crowd.bmp,0.2142857142857143,0.21
crowd_06_2.j2k,crowd.bmp,0.3809523809523809,0.2299999999999999
crowd_06_3.j2k,crowd.bmp,0.611111111111111,0.39
crowd_06_4.j2k,crowd.bmp,0.8333333333333334,0.6
crowd_07_1.bmp,crowd.bmp,0.0,0.2
crowd_07_2.bmp,crowd.bmp,0.3015873015873015,0.2299999999999999
crowd_07_3.bmp,crowd.bmp,0.5079365079365079,0.32
crowd_07_4.bmp,crowd.bmp,0.6825396825396824,0.49
crowd_07_5.bmp,crowd.bmp,0.873015873015873,0.6799999999999999
crowd_07_6.bmp,crowd.bmp,0.9841269841269844,0.9
crowd_08_1.bmp,crowd.bmp,0.0,0.2
crowd_08_2.bmp,crowd.bmp,0.0,0.2
crowd_08_3.bmp,crowd.bmp,0.0,0.2
crowd_08_4.bmp,crowd.bmp,0.119047619047619,0.2
crowd_09_1.bmp,crowd.bmp,0.0,0.2
crowd_09_4.bmp,crowd.bmp,0.4047619047619047,0.21
crowd_09_6.bmp,crowd.bmp,0.7619047619047619,0.39
crowd_10_1.bmp,crowd.bmp,0.0,0.2
crowd_10_2.bmp,crowd.bmp,0.0,0.2
crowd_10_3.bmp,crowd.bmp,0.0079365079365079,0.2
crowd_10_4.bmp,crowd.bmp,0.4365079365079365,0.2799999999999999
crowd_10_5.bmp,crowd.bmp,0.6746031746031748,0.49
crowd_10_6.bmp,crowd.bmp,0.9285714285714284,0.78
fresco.bmp,fresco.bmp,1.0,1.0
fresco_01_2.j2k,fresco.bmp,0.0238095238095238,0.2
fresco_01_3.j2k,fresco.bmp,0.0873015873015873,0.2
fresco_01_4.j2k,fresco.bmp,0.2222222222222222,0.21
fresco_02_1.jpg,fresco.bmp,0.0,0.2
fresco_02_3.jpg,fresco.bmp,0.3174603174603175,0.24
fresco_02_4.jpg,fresco.bmp,0.4920634920634921,0.31
fresco_02_5.jpg,fresco.bmp,0.619047619047619,0.38
fresco_02_6.jpg,fresco.bmp,0.7619047619047619,0.48
fresco_03_3.j2k,fresco.bmp,0.1428571428571428,0.2
fresco_03_4.j2k,fresco.bmp,0.4365079365079365,0.25
fresco_03_5.j2k,fresco.bmp,0.6746031746031748,0.43
fresco_04_4.j2k,fresco.bmp,0.5238095238095238,0.3299999999999999
fresco_04_5.j2k,fresco.bmp,0.6587301587301588,0.44
fresco_05_1.j2k,fresco.bmp,0.0158730158730158,0.2
fresco_05_2.j2k,fresco.bmp,0.119047619047619,0.2
fresco_05_3.j2k,fresco.bmp,0.2380952380952381,0.2
fresco_05_4.j2k,fresco.bmp,0.3968253968253968,0.2299999999999999
fresco_05_5.j2k,fresco.bmp,0.8968253968253967,0.8400000000000001
fresco_06_2.j2k,fresco.bmp,0.3253968253968254,0.21
fresco_06_3.j2k,fresco.bmp,0.626984126984127,0.37
fresco_06_5.j2k,fresco.bmp,0.9841269841269844,0.85
fresco_07_3.bmp,fresco.bmp,0.5158730158730159,0.3299999999999999
fresco_07_4.bmp,fresco.bmp,0.7380952380952381,0.5
fresco_07_5.bmp,fresco.bmp,0.8809523809523809,0.71
fresco_07_6.bmp,fresco.bmp,0.9761904761904764,0.92
fresco_08_1.bmp,fresco.bmp,0.0,0.2
fresco_08_2.bmp,fresco.bmp,0.0,0.2
fresco_08_3.bmp,fresco.bmp,0.0079365079365079,0.2
fresco_09_1.bmp,fresco.bmp,0.0,0.2
fresco_09_2.bmp,fresco.bmp,0.119047619047619,0.2
fresco_09_4.bmp,fresco.bmp,0.4206349206349207,0.21
fresco_09_6.bmp,fresco.bmp,0.7619047619047619,0.41
fresco_10_1.bmp,fresco.bmp,0.0079365079365079,0.2
fresco_10_2.bmp,fresco.bmp,0.0158730158730158,0.2
fresco_10_4.bmp,fresco.bmp,0.5317460317460317,0.3399999999999999
fresco_10_5.bmp,fresco.bmp,0.7142857142857143,0.55
house.bmp,house.bmp,1.0,1.0
house_01_2.j2k,house.bmp,0.0873015873015873,0.2
house_01_3.j2k,house.bmp,0.1746031746031746,0.21
house_01_5.j2k,house.bmp,0.5079365079365079,0.31
house_02_1.jpg,house.bmp,0.0,0.2
house_02_3.jpg,house.bmp,0.373015873015873,0.2299999999999999
house_02_4.jpg,house.bmp,0.4603174603174603,0.3299999999999999
house_02_6.jpg,house.bmp,0.6825396825396824,0.44
house_03_1.j2k,house.bmp,0.0158730158730158,0.2
house_03_2.j2k,house.bmp,0.1984126984126984,0.2
house_03_3.j2k,house.bmp,0.2222222222222222,0.22
house_03_4.j2k,house.bmp,0.4365079365079365,0.32
house_03_6.j2k,house.bmp,0.8571428571428572,0.71
house_04_1.j2k,house.bmp,0.0079365079365079,0.2
house_04_2.j2k,house.bmp,0.2063492063492063,0.2
house_04_3.j2k,house.bmp,0.2619047619047619,0.2299999999999999
house_04_4.j2k,house.bmp,0.4523809523809524,0.35
house_04_5.j2k,house.bmp,0.6587301587301588,0.5
house_05_2.j2k,house.bmp,0.1111111111111111,0.2
house_05_4.j2k,house.bmp,0.246031746031746,0.22
house_05_5.j2k,house.bmp,0.5238095238095238,0.32
house_06_1.j2k,house.bmp,0.0238095238095238,0.2
house_06_2.j2k,house.bmp,0.3492063492063493,0.24
house_06_3.j2k,house.bmp,0.5476190476190476,0.41
house_07_1.bmp,house.bmp,0.0,0.2
house_07_2.bmp,house.bmp,0.3253968253968254,0.2299999999999999
house_07_3.bmp,house.bmp,0.4523809523809524,0.3
house_07_4.bmp,house.bmp,0.611111111111111,0.44
house_07_6.bmp,house.bmp,0.9206349206349206,0.8800000000000001
house_08_1.bmp,house.bmp,0.0,0.2
house_08_2.bmp,house.bmp,0.0,0.2
house_08_3.bmp,house.bmp,0.0,0.2
house_08_4.bmp,house.bmp,0.1507936507936507,0.2
house_09_1.bmp,house.bmp,0.0,0.2
house_09_2.bmp,house.bmp,0.1111111111111111,0.2
house_09_3.bmp,house.bmp,0.2539682539682539,0.2
house_09_5.bmp,house.bmp,0.5952380952380953,0.3
house_10_1.bmp,house.bmp,0.0,0.2
house_10_2.bmp,house.bmp,0.0079365079365079,0.2
house_10_3.bmp,house.bmp,0.0158730158730158,0.2
house_10_4.bmp,house.bmp,0.0873015873015873,0.2
house_10_5.bmp,house.bmp,0.5555555555555555,0.4
lion.bmp,lion.bmp,1.0,1.0
lion_01_2.j2k,lion.bmp,0.0238095238095238,0.2
lion_01_3.j2k,lion.bmp,0.1587301587301587,0.21
lion_01_5.j2k,lion.bmp,0.5714285714285714,0.4
lion_02_1.jpg,lion.bmp,0.0,0.2
